county,state_full,cumulative_cases,State,county_pop,percent_cases
Ramsey,North Dakota,4442,ND,11515.0,0.38575770733825443
Richland,North Dakota,4879,ND,16580.0,0.294270205066345
Sargent,North Dakota,1339,ND,3795.0,0.352832674571805
Belmont,Ohio,19417,OH,65509.0,0.2964020210963379
Butler,Ohio,117672,OH,388420.0,0.3029504144997683
Clinton,Ohio,12949,OH,41964.0,0.30857401582308647
Cuyahoga,Ohio,356003,OH,1236041.0,0.2880187631316437
Erie,Ohio,25240,OH,74501.0,0.3387873988268614
Fairfield,Ohio,47892,OH,162898.0,0.2939999263342705
Highland,Ohio,13672,OH,43391.0,0.31508838238344355
Hocking,Ohio,8747,OH,27858.0,0.3139852107114653
Huron,Ohio,18170,OH,58218.0,0.31210278607990655
Jefferson,Ohio,19029,OH,64330.0,0.29580289134152027
Licking,Ohio,53423,OH,181359.0,0.2945704376402605
Miami,Ohio,32308,OH,110247.0,0.2930510580786779
Monroe,Ohio,4279,OH,13234.0,0.3233338370862929
Pickaway,Ohio,21453,OH,60023.0,0.3574129916865202
Portage,Ohio,44916,OH,161745.0,0.2776963739219141
Richland,Ohio,39608,OH,125319.0,0.316057421460433
Ross,Ohio,25331,OH,76606.0,0.33066600527373835
Vinton,Ohio,3741,OH,12565.0,0.2977317946677278
Warren,Ohio,73357,OH,249778.0,0.2936887956505377
Williams,Ohio,12163,OH,36652.0,0.33185092218705664
Wyandot,Ohio,6732,OH,21567.0,0.31214355264988175
Blaine,Oklahoma,2971,OK,8409.0,0.35331192769651565
Bryan,Oklahoma,17609,OK,48182.0,0.3654684321945955
Canadian,Oklahoma,48889,OK,169149.0,0.2890291991084783
Cherokee,Oklahoma,17812,OK,48098.0,0.3703272485342426
Cimarron,Oklahoma,720,OK,2252.0,0.3197158081705151
Delaware,Oklahoma,13936,OK,41413.0,0.3365126892521672
Ellis,Oklahoma,1048,OK,3657.0,0.286573694284933
Grant,Oklahoma,1264,OK,4124.0,0.3064985451018429
Haskell,Oklahoma,3418,OK,11641.0,0.29361738682243793
Kiowa,Oklahoma,2440,OK,8345.0,0.2923906530856801
Latimer,Oklahoma,2754,OK,9630.0,0.28598130841121494
